"Date";"TempAvg"
06/01/2014;62
06/02/2014;63
06/03/2014;59
06/04/2014;59
06/05/2014;61
06/06/2014;64
06/07/2014;66
06/08/2014;64
06/09/2014;63
06/10/2014;61
06/11/2014;64
06/12/2014;63
06/13/2014;56
06/14/2014;59
06/15/2014;58
06/16/2014;56
06/17/2014;57
06/18/2014;59
06/19/2014;66
06/20/2014;59
06/21/2014;62
06/22/2014;65
06/23/2014;67
06/24/2014;67
06/25/2014;68
06/26/2014;64
06/27/2014;64
06/28/2014;62
06/29/2014;62
06/30/2014;67
07/01/2014;77
07/02/2014;70
07/03/2014;64
07/04/2014;66
07/05/2014;66
07/06/2014;72
07/07/2014;73
07/08/2014;73
07/09/2014;69
07/10/2014;70
07/11/2014;74
07/12/2014;76
07/13/2014;72
07/14/2014;71
07/15/2014;73
07/16/2014;73
07/17/2014;69
07/18/2014;64
07/19/2014;69
07/20/2014;63
07/21/2014;66
07/22/2014;63
07/23/2014;61
07/24/2014;62
07/25/2014;64
07/26/2014;68
07/27/2014;71
07/28/2014;73
07/29/2014;73
07/30/2014;72
07/31/2014;76
08/01/2014;72
08/02/2014;73
08/03/2014;74
08/04/2014;76
08/05/2014;67
08/06/2014;69
08/07/2014;67
08/08/2014;67
08/09/2014;71
08/10/2014;72
08/11/2014;80
08/12/2014;72
08/13/2014;67
08/14/2014;67
08/15/2014;69
08/16/2014;69
08/17/2014;71
08/18/2014;73
08/19/2014;71
08/20/2014;64
08/21/2014;61
08/22/2014;66
08/23/2014;70
08/24/2014;67
08/25/2014;71
08/26/2014;74
08/27/2014;73
08/28/2014;66
08/29/2014;66
08/30/2014;62
08/31/2014;64
